Species,Longitude,Latitude
ahli_background_rep_1,-80.0437,21.972
ahli_background_rep_1,-79.8251,21.8095
ahli_background_rep_1,-80.1776,21.9673
ahli_background_rep_1,-79.8807,21.8374
ahli_background_rep_1,-79.955,21.8374
ahli_background_rep_1,-80.3446,22.0136
ahli_background_rep_1,-79.8065,21.7631
ahli_background_rep_1,-80.1591,21.9673
ahli_background_rep_1,-80.1498,21.9858
ahli_background_rep_1,-79.9972,21.9792
ahli_background_rep_1,-79.9086,21.8095
ahli_background_rep_1,-80.2148,21.9394
ahli_background_rep_1,-80.122,21.9301
ahli_background_rep_1,-80.0106,21.8744
ahli_background_rep_2,-80.122,21.9301
ahli_background_rep_2,-80.1776,21.9673
ahli_background_rep_2,-79.8065,21.7631
ahli_background_rep_2,-80.1776,21.9023
ahli_background_rep_2,-79.8807,21.8374
ahli_background_rep_2,-79.955,21.8374
ahli_background_rep_2,-80.3446,22.0136
ahli_background_rep_2,-80.1591,21.9673
ahli_background_rep_2,-80.1498,21.9858
ahli_background_rep_2,-79.8251,21.8095
ahli_background_rep_2,-79.9972,21.9792
ahli_background_rep_2,-80.2983,21.9951
ahli_background_rep_2,-80.2148,21.9394
ahli_background_rep_2,-79.9086,21.8095
ahli_background_rep_3,-79.955,21.8374
ahli_background_rep_3,-80.1498,21.9858
ahli_background_rep_3,-80.1776,21.9023
ahli_background_rep_3,-80.2148,21.9394
ahli_background_rep_3,-80.1776,21.9673
ahli_background_rep_3,-79.9972,21.9792
ahli_background_rep_3,-79.8065,21.7631
ahli_background_rep_3,-80.122,21.9301
ahli_background_rep_3,-80.3446,22.0136
ahli_background_rep_3,-79.9086,21.8095
ahli_background_rep_3,-79.8807,21.8374
ahli_background_rep_3,-80.0106,21.8744
ahli_background_rep_3,-80.2983,21.9951
ahli_background_rep_3,-80.1591,21.9673
ahli_background_rep_4,-80.2148,21.9394
ahli_background_rep_4,-79.9086,21.8095
ahli_background_rep_4,-79.9972,21.9792
ahli_background_rep_4,-79.8807,21.8374
ahli_background_rep_4,-80.122,21.9301
ahli_background_rep_4,-80.2983,21.9951
ahli_background_rep_4,-80.1776,21.9023
ahli_background_rep_4,-80.1776,21.9673
ahli_background_rep_4,-80.1591,21.9673
ahli_background_rep_4,-79.955,21.8374
ahli_background_rep_4,-80.0106,21.8744
ahli_background_rep_4,-79.8251,21.8095
ahli_background_rep_4,-80.0437,21.972
ahli_background_rep_4,-80.1498,21.9858
ahli_background_rep_5,-79.8807,21.8374
ahli_background_rep_5,-80.0437,21.972
ahli_background_rep_5,-80.1498,21.9858
ahli_background_rep_5,-80.3446,22.0136
ahli_background_rep_5,-80.1776,21.9023
ahli_background_rep_5,-80.2983,21.9951
ahli_background_rep_5,-79.955,21.8374
ahli_background_rep_5,-79.9972,21.9792
ahli_background_rep_5,-79.8065,21.7631
ahli_background_rep_5,-80.2148,21.9394
ahli_background_rep_5,-79.9086,21.8095
ahli_background_rep_5,-79.8251,21.8095
ahli_background_rep_5,-80.122,21.9301
ahli_background_rep_5,-80.0106,21.8744
ahli_background_rep_6,-80.0437,21.972
ahli_background_rep_6,-79.8251,21.8095
ahli_background_rep_6,-80.2148,21.9394
ahli_background_rep_6,-80.1776,21.9023
ahli_background_rep_6,-80.122,21.9301
ahli_background_rep_6,-79.8065,21.7631
ahli_background_rep_6,-80.1498,21.9858
ahli_background_rep_6,-80.1776,21.9673
ahli_background_rep_6,-80.1591,21.9673
ahli_background_rep_6,-79.9972,21.9792
ahli_background_rep_6,-79.8807,21.8374
ahli_background_rep_6,-80.0106,21.8744
ahli_background_rep_6,-79.9086,21.8095
ahli_background_rep_6,-80.2983,21.9951
ahli_background_rep_7,-79.8807,21.8374
ahli_background_rep_7,-80.1776,21.9673
ahli_background_rep_7,-79.8065,21.7631
ahli_background_rep_7,-80.0437,21.972
ahli_background_rep_7,-79.9086,21.8095
ahli_background_rep_7,-80.2148,21.9394
ahli_background_rep_7,-80.3446,22.0136
ahli_background_rep_7,-79.955,21.8374
ahli_background_rep_7,-79.9972,21.9792
ahli_background_rep_7,-80.1498,21.9858
ahli_background_rep_7,-79.8251,21.8095
ahli_background_rep_7,-80.2983,21.9951
ahli_background_rep_7,-80.1776,21.9023
ahli_background_rep_7,-80.0106,21.8744
ahli_background_rep_8,-80.0437,21.972
ahli_background_rep_8,-79.9086,21.8095
ahli_background_rep_8,-80.1776,21.9673
ahli_background_rep_8,-80.3446,22.0136
ahli_background_rep_8,-79.8065,21.7631
ahli_background_rep_8,-80.1776,21.9023
ahli_background_rep_8,-79.8251,21.8095
ahli_background_rep_8,-79.9972,21.9792
ahli_background_rep_8,-80.0106,21.8744
ahli_background_rep_8,-79.955,21.8374
ahli_background_rep_8,-79.8807,21.8374
ahli_background_rep_8,-80.2148,21.9394
ahli_background_rep_8,-80.2983,21.9951
ahli_background_rep_8,-80.1591,21.9673
ahli_background_rep_9,-80.1776,21.9023
ahli_background_rep_9,-80.1591,21.9673
ahli_background_rep_9,-80.2148,21.9394
ahli_background_rep_9,-80.0437,21.972
ahli_background_rep_9,-80.2983,21.9951
ahli_background_rep_9,-80.122,21.9301
ahli_background_rep_9,-80.3446,22.0136
ahli_background_rep_9,-79.9086,21.8095
ahli_background_rep_9,-79.8251,21.8095
ahli_background_rep_9,-80.1776,21.9673
ahli_background_rep_9,-79.9972,21.9792
ahli_background_rep_9,-80.0106,21.8744
ahli_background_rep_9,-79.8065,21.7631
ahli_background_rep_9,-79.955,21.8374
ahli_background_rep_10,-80.2148,21.9394
ahli_background_rep_10,-79.8251,21.8095
ahli_background_rep_10,-80.1498,21.9858
ahli_background_rep_10,-79.9972,21.9792
ahli_background_rep_10,-80.3446,22.0136
ahli_background_rep_10,-80.1776,21.9023
ahli_background_rep_10,-80.1776,21.9673
ahli_background_rep_10,-79.8065,21.7631
ahli_background_rep_10,-79.9086,21.8095
ahli_background_rep_10,-80.0437,21.972
ahli_background_rep_10,-80.122,21.9301
ahli_background_rep_10,-80.0106,21.8744
ahli_background_rep_10,-80.2983,21.9951
ahli_background_rep_10,-79.8807,21.8374
ahli_background_rep_11,-79.9086,21.8095
ahli_background_rep_11,-80.2983,21.9951
ahli_background_rep_11,-80.1776,21.9023
ahli_background_rep_11,-80.2148,21.9394
ahli_background_rep_11,-79.8065,21.7631
ahli_background_rep_11,-79.8807,21.8374
ahli_background_rep_11,-80.1591,21.9673
ahli_background_rep_11,-79.8251,21.8095
ahli_background_rep_11,-80.0106,21.8744
ahli_background_rep_11,-79.9972,21.9792
ahli_background_rep_11,-80.1498,21.9858
ahli_background_rep_11,-80.122,21.9301
ahli_background_rep_11,-80.3446,22.0136
ahli_background_rep_11,-80.1776,21.9673
ahli_background_rep_12,-80.2983,21.9951
ahli_background_rep_12,-79.955,21.8374
ahli_background_rep_12,-80.1776,21.9673
ahli_background_rep_12,-79.8251,21.8095
ahli_background_rep_12,-80.122,21.9301
ahli_background_rep_12,-80.2148,21.9394
ahli_background_rep_12,-80.0106,21.8744
ahli_background_rep_12,-79.8065,21.7631
ahli_background_rep_12,-80.0437,21.972
ahli_background_rep_12,-80.1776,21.9023
ahli_background_rep_12,-80.1498,21.9858
ahli_background_rep_12,-79.9086,21.8095
ahli_background_rep_12,-80.1591,21.9673
ahli_background_rep_12,-80.3446,22.0136
ahli_background_rep_13,-79.8807,21.8374
ahli_background_rep_13,-79.9086,21.8095
ahli_background_rep_13,-80.0106,21.8744
ahli_background_rep_13,-80.1498,21.9858
ahli_background_rep_13,-79.8251,21.8095
ahli_background_rep_13,-80.1776,21.9673
ahli_background_rep_13,-79.955,21.8374
ahli_background_rep_13,-80.122,21.9301
ahli_background_rep_13,-80.1591,21.9673
ahli_background_rep_13,-80.3446,22.0136
ahli_background_rep_13,-79.8065,21.7631
ahli_background_rep_13,-80.0437,21.972
ahli_background_rep_13,-79.9972,21.9792
ahli_background_rep_13,-80.1776,21.9023
ahli_background_rep_14,-79.8807,21.8374
ahli_background_rep_14,-80.0437,21.972
ahli_background_rep_14,-80.3446,22.0136
ahli_background_rep_14,-79.8251,21.8095
ahli_background_rep_14,-80.0106,21.8744
ahli_background_rep_14,-79.955,21.8374
ahli_background_rep_14,-80.1776,21.9673
ahli_background_rep_14,-80.1498,21.9858
ahli_background_rep_14,-79.8065,21.7631
ahli_background_rep_14,-80.122,21.9301
ahli_background_rep_14,-80.2983,21.9951
ahli_background_rep_14,-79.9972,21.9792
ahli_background_rep_14,-80.1776,21.9023
ahli_background_rep_14,-79.9086,21.8095
ahli_background_rep_15,-79.9972,21.9792
ahli_background_rep_15,-80.1591,21.9673
ahli_background_rep_15,-80.2148,21.9394
ahli_background_rep_15,-79.8807,21.8374
ahli_background_rep_15,-79.955,21.8374
ahli_background_rep_15,-80.0437,21.972
ahli_background_rep_15,-79.8065,21.7631
ahli_background_rep_15,-79.8251,21.8095
ahli_background_rep_15,-80.3446,22.0136
ahli_background_rep_15,-80.1776,21.9673
ahli_background_rep_15,-80.122,21.9301
ahli_background_rep_15,-80.0106,21.8744
ahli_background_rep_15,-80.2983,21.9951
ahli_background_rep_15,-80.1776,21.9023
ahli_background_rep_16,-79.955,21.8374
ahli_background_rep_16,-80.1776,21.9673
ahli_background_rep_16,-79.8251,21.8095
ahli_background_rep_16,-80.3446,22.0136
ahli_background_rep_16,-80.1591,21.9673
ahli_background_rep_16,-79.8807,21.8374
ahli_background_rep_16,-79.9972,21.9792
ahli_background_rep_16,-80.2983,21.9951
ahli_background_rep_16,-79.9086,21.8095
ahli_background_rep_16,-80.0437,21.972
ahli_background_rep_16,-80.0106,21.8744
ahli_background_rep_16,-80.1498,21.9858
ahli_background_rep_16,-80.122,21.9301
ahli_background_rep_16,-79.8065,21.7631
ahli_background_rep_17,-80.1776,21.9673
ahli_background_rep_17,-79.8807,21.8374
ahli_background_rep_17,-80.0437,21.972
ahli_background_rep_17,-80.2983,21.9951
ahli_background_rep_17,-79.8065,21.7631
ahli_background_rep_17,-79.9972,21.9792
ahli_background_rep_17,-79.8251,21.8095
ahli_background_rep_17,-80.2148,21.9394
ahli_background_rep_17,-80.1591,21.9673
ahli_background_rep_17,-79.955,21.8374
ahli_background_rep_17,-80.1776,21.9023
ahli_background_rep_17,-80.3446,22.0136
ahli_background_rep_17,-80.1498,21.9858
ahli_background_rep_17,-79.9086,21.8095
ahli_background_rep_18,-79.955,21.8374
ahli_background_rep_18,-79.9972,21.9792
ahli_background_rep_18,-80.1776,21.9023
ahli_background_rep_18,-80.0106,21.8744
ahli_background_rep_18,-80.2983,21.9951
ahli_background_rep_18,-80.1498,21.9858
ahli_background_rep_18,-79.8251,21.8095
ahli_background_rep_18,-80.3446,22.0136
ahli_background_rep_18,-80.122,21.9301
ahli_background_rep_18,-79.9086,21.8095
ahli_background_rep_18,-79.8065,21.7631
ahli_background_rep_18,-80.0437,21.972
ahli_background_rep_18,-80.1591,21.9673
ahli_background_rep_18,-80.1776,21.9673
ahli_background_rep_19,-80.1776,21.9673
ahli_background_rep_19,-79.8251,21.8095
ahli_background_rep_19,-80.1776,21.9023
ahli_background_rep_19,-80.2148,21.9394
ahli_background_rep_19,-79.9086,21.8095
ahli_background_rep_19,-80.1591,21.9673
ahli_background_rep_19,-80.2983,21.9951
ahli_background_rep_19,-80.0437,21.972
ahli_background_rep_19,-79.8065,21.7631
ahli_background_rep_19,-79.8807,21.8374
ahli_background_rep_19,-80.1498,21.9858
ahli_background_rep_19,-79.9972,21.9792
ahli_background_rep_19,-80.3446,22.0136
ahli_background_rep_19,-79.955,21.8374
ahli_background_rep_20,-80.0437,21.972
ahli_background_rep_20,-80.2148,21.9394
ahli_background_rep_20,-80.1776,21.9023
ahli_background_rep_20,-80.3446,22.0136
ahli_background_rep_20,-80.0106,21.8744
ahli_background_rep_20,-79.9086,21.8095
ahli_background_rep_20,-80.1591,21.9673
ahli_background_rep_20,-80.122,21.9301
ahli_background_rep_20,-80.1776,21.9673
ahli_background_rep_20,-79.8065,21.7631
ahli_background_rep_20,-80.1498,21.9858
ahli_background_rep_20,-79.8807,21.8374
ahli_background_rep_20,-79.955,21.8374
ahli_background_rep_20,-80.2983,21.9951
