species,Species,Longitude,Latitude
species_rep_1,ahli,-80.0106,21.8744
species_rep_1,ahli,-80.1776,21.9023
species_rep_1,ahli,-80.3446,22.0136
species_rep_1,ahli,-79.9086,21.8095
species_rep_1,ahli,-80.2148,21.9394
species_rep_1,ahli,-80.1498,21.9858
species_rep_1,ahli,-79.9972,21.9792
species_rep_1,ahli,-79.8065,21.7631
species_rep_1,ahli,-79.955,21.8374
species_rep_1,ahli,-80.122,21.9301
species_rep_2,ahli,-80.1776,21.9673
species_rep_2,ahli,-80.2148,21.9394
species_rep_2,ahli,-80.122,21.9301
species_rep_2,ahli,-79.8251,21.8095
species_rep_2,ahli,-80.0106,21.8744
species_rep_2,ahli,-79.9972,21.9792
species_rep_2,ahli,-79.8807,21.8374
species_rep_2,ahli,-80.1498,21.9858
species_rep_2,ahli,-80.1776,21.9023
species_rep_2,ahli,-80.0437,21.972
species_rep_3,ahli,-80.1498,21.9858
species_rep_3,ahli,-79.955,21.8374
species_rep_3,ahli,-80.3446,22.0136
species_rep_3,ahli,-80.0437,21.972
species_rep_3,ahli,-79.9086,21.8095
species_rep_3,ahli,-79.8251,21.8095
species_rep_3,ahli,-80.0106,21.8744
species_rep_3,ahli,-80.122,21.9301
species_rep_3,ahli,-80.1776,21.9023
species_rep_3,ahli,-80.2148,21.9394
